Mfg_Part_Num,field,value,confidence,source,extraction_mode
DCB518ASTS06G,INVOICE_DESC,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",1.0,"input file, verbatim",heuristic
DCB518ASTS06G,ATTRIBUTE_LABEL 1,Size,0.9,Part_Desc literal (regex size match),heuristic
DCB518ASTS06G,ATTRIBUTE_VALUE 1,"2"" x 18""",0.9,Part_Desc literal (regex size match),heuristic
DCB518ASTS06G,ATTRIBUTE_UOM 1,in,0.9,Part_Desc literal (regex size match),heuristic
DCB518ASTS06G,ATTRIBUTE_LABEL 2,Pack Quantity,0.85,Part_Desc literal (pack qty match),heuristic
DCB518ASTS06G,ATTRIBUTE_VALUE 2,6,0.85,Part_Desc literal (pack qty match),heuristic
DCB518ASTS06G,ATTRIBUTE_UOM 2,ea,0.85,Part_Desc literal (pack qty match),heuristic
3MABR-7100075678,Mfg_Part_Num,3MABR-7100075678,1.0,"input file, verbatim",heuristic
3MABR-7100075678,Part_Desc,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100075678,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
3MABR-7100075678,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100075678,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100075678,Part_Manuf,Jam Industrial Supply LLC (JAMIN),1.0,"input file, verbatim",heuristic
3MABR-7100075678,PART_NUMBER,3MABR-7100075678,1.0,"input file, verbatim",heuristic
3MABR-7100075678,MANUFACTURER_PART_NUMBER,3MABR-7100075678,1.0,"input file, verbatim",heuristic
3MABR-7100075678,MANUFACTURER_NAME,Jam Industrial Supply LLC,0.4,extraction agent: cleaned from Part_Manuf + description,heuristic
3MABR-7100075678,BRAND_NAME,Jam Industrial Supply LLC,0.4,extraction agent,heuristic
3MABR-7100075678,Dept,Tools & Equipment,0.4,extraction agent: category classification,heuristic
3MABR-7100075678,Class,Abrasives,0.4,extraction agent: category classification,heuristic
3MABR-7100075678,Fine,Sanding Products,0.4,extraction agent: category classification,heuristic
3MABR-7100075678,Classpath,Tools & Equipment>Abrasives>Sanding Products,0.4,extraction agent,heuristic
3MABR-7100075678,Product Name,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100075678,SHORT_DESC,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100075678,LONG_DESC1,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100075678,MOBILE_DESC,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,0.4,derived from short_desc,heuristic
3MABR-7100075678,INVOICE_DESC,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100075678,ATTRIBUTE_LABEL 1,Grit,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100075678,ATTRIBUTE_VALUE 1,150,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100075678,ATTRIBUTE_UOM 1,,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100045865,Mfg_Part_Num,3MABR-7100045865,1.0,"input file, verbatim",heuristic
3MABR-7100045865,Part_Desc,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100045865,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
3MABR-7100045865,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100045865,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100045865,Part_Manuf,Jam Industrial Supply LLC (JAMIN),1.0,"input file, verbatim",heuristic
3MABR-7100045865,PART_NUMBER,3MABR-7100045865,1.0,"input file, verbatim",heuristic
3MABR-7100045865,MANUFACTURER_PART_NUMBER,3MABR-7100045865,1.0,"input file, verbatim",heuristic
3MABR-7100045865,MANUFACTURER_NAME,Jam Industrial Supply LLC,0.4,extraction agent: cleaned from Part_Manuf + description,heuristic
3MABR-7100045865,BRAND_NAME,Jam Industrial Supply LLC,0.4,extraction agent,heuristic
3MABR-7100045865,Dept,Tools & Equipment,0.4,extraction agent: category classification,heuristic
3MABR-7100045865,Class,Abrasives,0.4,extraction agent: category classification,heuristic
3MABR-7100045865,Fine,Sanding Products,0.4,extraction agent: category classification,heuristic
3MABR-7100045865,Classpath,Tools & Equipment>Abrasives>Sanding Products,0.4,extraction agent,heuristic
3MABR-7100045865,Product Name,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100045865,SHORT_DESC,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100045865,LONG_DESC1,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100045865,MOBILE_DESC,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,0.4,derived from short_desc,heuristic
3MABR-7100045865,INVOICE_DESC,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100045865,ATTRIBUTE_LABEL 1,Grit,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100045865,ATTRIBUTE_VALUE 1,120,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100045865,ATTRIBUTE_UOM 1,,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100048736,Mfg_Part_Num,3MABR-7100048736,1.0,"input file, verbatim",heuristic
3MABR-7100048736,Part_Desc,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100048736,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
3MABR-7100048736,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100048736,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100048736,Part_Manuf,Jam Industrial Supply LLC (JAMIN),1.0,"input file, verbatim",heuristic
3MABR-7100048736,PART_NUMBER,3MABR-7100048736,1.0,"input file, verbatim",heuristic
3MABR-7100048736,MANUFACTURER_PART_NUMBER,3MABR-7100048736,1.0,"input file, verbatim",heuristic
3MABR-7100048736,MANUFACTURER_NAME,Jam Industrial Supply LLC,0.4,extraction agent: cleaned from Part_Manuf + description,heuristic
3MABR-7100048736,BRAND_NAME,Jam Industrial Supply LLC,0.4,extraction agent,heuristic
3MABR-7100048736,Dept,Tools & Equipment,0.4,extraction agent: category classification,heuristic
3MABR-7100048736,Class,Abrasives,0.4,extraction agent: category classification,heuristic
3MABR-7100048736,Fine,Sanding Products,0.4,extraction agent: category classification,heuristic
3MABR-7100048736,Classpath,Tools & Equipment>Abrasives>Sanding Products,0.4,extraction agent,heuristic
3MABR-7100048736,Product Name,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100048736,SHORT_DESC,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100048736,LONG_DESC1,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100048736,MOBILE_DESC,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,0.4,derived from short_desc,heuristic
3MABR-7100048736,INVOICE_DESC,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100048736,ATTRIBUTE_LABEL 1,Grit,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100048736,ATTRIBUTE_VALUE 1,80,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100048736,ATTRIBUTE_UOM 1,,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100075690,Mfg_Part_Num,3MABR-7100075690,1.0,"input file, verbatim",heuristic
3MABR-7100075690,Part_Desc,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100075690,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
3MABR-7100075690,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100075690,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100075690,Part_Manuf,Jam Industrial Supply LLC (JAMIN),1.0,"input file, verbatim",heuristic
3MABR-7100075690,PART_NUMBER,3MABR-7100075690,1.0,"input file, verbatim",heuristic
3MABR-7100075690,MANUFACTURER_PART_NUMBER,3MABR-7100075690,1.0,"input file, verbatim",heuristic
3MABR-7100075690,MANUFACTURER_NAME,Jam Industrial Supply LLC,0.4,extraction agent: cleaned from Part_Manuf + description,heuristic
3MABR-7100075690,BRAND_NAME,Jam Industrial Supply LLC,0.4,extraction agent,heuristic
3MABR-7100075690,Dept,Tools & Equipment,0.4,extraction agent: category classification,heuristic
3MABR-7100075690,Class,Abrasives,0.4,extraction agent: category classification,heuristic
3MABR-7100075690,Fine,Sanding Products,0.4,extraction agent: category classification,heuristic
3MABR-7100075690,Classpath,Tools & Equipment>Abrasives>Sanding Products,0.4,extraction agent,heuristic
3MABR-7100075690,Product Name,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100075690,SHORT_DESC,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100075690,LONG_DESC1,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100075690,MOBILE_DESC,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,0.4,derived from short_desc,heuristic
3MABR-7100075690,INVOICE_DESC,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100075690,ATTRIBUTE_LABEL 1,Grit,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100075690,ATTRIBUTE_VALUE 1,180,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100075690,ATTRIBUTE_UOM 1,,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100075692,Mfg_Part_Num,3MABR-7100075692,1.0,"input file, verbatim",heuristic
3MABR-7100075692,Part_Desc,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100075692,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
3MABR-7100075692,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100075692,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100075692,Part_Manuf,Jam Industrial Supply LLC (JAMIN),1.0,"input file, verbatim",heuristic
3MABR-7100075692,PART_NUMBER,3MABR-7100075692,1.0,"input file, verbatim",heuristic
3MABR-7100075692,MANUFACTURER_PART_NUMBER,3MABR-7100075692,1.0,"input file, verbatim",heuristic
3MABR-7100075692,MANUFACTURER_NAME,Jam Industrial Supply LLC,0.4,extraction agent: cleaned from Part_Manuf + description,heuristic
3MABR-7100075692,BRAND_NAME,Jam Industrial Supply LLC,0.4,extraction agent,heuristic
3MABR-7100075692,Dept,Tools & Equipment,0.4,extraction agent: category classification,heuristic
3MABR-7100075692,Class,Abrasives,0.4,extraction agent: category classification,heuristic
3MABR-7100075692,Fine,Sanding Products,0.4,extraction agent: category classification,heuristic
3MABR-7100075692,Classpath,Tools & Equipment>Abrasives>Sanding Products,0.4,extraction agent,heuristic
3MABR-7100075692,Product Name,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100075692,SHORT_DESC,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100075692,LONG_DESC1,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100075692,MOBILE_DESC,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,0.4,derived from short_desc,heuristic
3MABR-7100075692,INVOICE_DESC,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100075692,ATTRIBUTE_LABEL 1,Grit,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100075692,ATTRIBUTE_VALUE 1,220,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100075692,ATTRIBUTE_UOM 1,,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100145365,Mfg_Part_Num,3MABR-7100145365,1.0,"input file, verbatim",heuristic
3MABR-7100145365,Part_Desc,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100145365,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
3MABR-7100145365,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100145365,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
3MABR-7100145365,Part_Manuf,Jam Industrial Supply LLC (JAMIN),1.0,"input file, verbatim",heuristic
3MABR-7100145365,PART_NUMBER,3MABR-7100145365,1.0,"input file, verbatim",heuristic
3MABR-7100145365,MANUFACTURER_PART_NUMBER,3MABR-7100145365,1.0,"input file, verbatim",heuristic
3MABR-7100145365,MANUFACTURER_NAME,Jam Industrial Supply LLC,0.4,extraction agent: cleaned from Part_Manuf + description,heuristic
3MABR-7100145365,BRAND_NAME,Jam Industrial Supply LLC,0.4,extraction agent,heuristic
3MABR-7100145365,Dept,Tools & Equipment,0.4,extraction agent: category classification,heuristic
3MABR-7100145365,Class,Abrasives,0.4,extraction agent: category classification,heuristic
3MABR-7100145365,Fine,Sanding Products,0.4,extraction agent: category classification,heuristic
3MABR-7100145365,Classpath,Tools & Equipment>Abrasives>Sanding Products,0.4,extraction agent,heuristic
3MABR-7100145365,Product Name,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100145365,SHORT_DESC,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100145365,LONG_DESC1,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,0.4,extraction agent,heuristic
3MABR-7100145365,MOBILE_DESC,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,0.4,derived from short_desc,heuristic
3MABR-7100145365,INVOICE_DESC,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,1.0,"input file, verbatim",heuristic
3MABR-7100145365,ATTRIBUTE_LABEL 1,Grit,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100145365,ATTRIBUTE_VALUE 1,320,0.9,Part_Desc literal (grit code),heuristic
3MABR-7100145365,ATTRIBUTE_UOM 1,,0.9,Part_Desc literal (grit code),heuristic
5B-332-080,Mfg_Part_Num,5B-332-080,1.0,"input file, verbatim",heuristic
5B-332-080,Part_Desc,"5B-332-080 HIOLIT 5"" P80",1.0,"input file, verbatim",heuristic
5B-332-080,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
5B-332-080,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
5B-332-080,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
5B-332-080,Part_Manuf,Mirka Abrasives Inc (MIRUS),1.0,"input file, verbatim",heuristic
5B-332-080,PART_NUMBER,5B-332-080,1.0,"input file, verbatim",heuristic
5B-332-080,MANUFACTURER_PART_NUMBER,5B-332-080,1.0,"input file, verbatim",heuristic
5B-332-080,MANUFACTURER_NAME,Mirka Abrasives Inc,0.4,extraction agent: cleaned from Part_Manuf + description,heuristic
5B-332-080,BRAND_NAME,Mirka Abrasives Inc,0.4,extraction agent,heuristic
5B-332-080,Dept,Uncategorized,0.4,extraction agent: category classification,heuristic
5B-332-080,Class,Uncategorized,0.4,extraction agent: category classification,heuristic
5B-332-080,Fine,Uncategorized,0.4,extraction agent: category classification,heuristic
5B-332-080,Classpath,Uncategorized>Uncategorized>Uncategorized,0.4,extraction agent,heuristic
5B-332-080,Product Name,"5B-332-080 HIOLIT 5"" P80",0.4,extraction agent,heuristic
5B-332-080,SHORT_DESC,"5B-332-080 HIOLIT 5"" P80",0.4,extraction agent,heuristic
5B-332-080,LONG_DESC1,"5B-332-080 HIOLIT 5"" P80",0.4,extraction agent,heuristic
5B-332-080,MOBILE_DESC,"5B-332-080 HIOLIT 5"" P80",0.4,derived from short_desc,heuristic
5B-332-080,INVOICE_DESC,"5B-332-080 HIOLIT 5"" P80",1.0,"input file, verbatim",heuristic
5B-332-080,ATTRIBUTE_LABEL 1,Grit,0.9,Part_Desc literal (grit code),heuristic
5B-332-080,ATTRIBUTE_VALUE 1,80,0.9,Part_Desc literal (grit code),heuristic
5B-332-080,ATTRIBUTE_UOM 1,,0.9,Part_Desc literal (grit code),heuristic
5B-332-120,Mfg_Part_Num,5B-332-120,1.0,"input file, verbatim",heuristic
5B-332-120,Part_Desc,"5B-332-120 HIOLIT 5"" P120",1.0,"input file, verbatim",heuristic
5B-332-120,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
5B-332-120,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
5B-332-120,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
5B-332-120,Part_Manuf,Mirka Abrasives Inc (MIRUS),1.0,"input file, verbatim",heuristic
5B-332-120,PART_NUMBER,5B-332-120,1.0,"input file, verbatim",heuristic
5B-332-120,MANUFACTURER_PART_NUMBER,5B-332-120,1.0,"input file, verbatim",heuristic
5B-332-120,MANUFACTURER_NAME,Mirka Abrasives Inc,0.4,extraction agent: cleaned from Part_Manuf + description,heuristic
5B-332-120,BRAND_NAME,Mirka Abrasives Inc,0.4,extraction agent,heuristic
5B-332-120,Dept,Uncategorized,0.4,extraction agent: category classification,heuristic
5B-332-120,Class,Uncategorized,0.4,extraction agent: category classification,heuristic
5B-332-120,Fine,Uncategorized,0.4,extraction agent: category classification,heuristic
5B-332-120,Classpath,Uncategorized>Uncategorized>Uncategorized,0.4,extraction agent,heuristic
5B-332-120,Product Name,"5B-332-120 HIOLIT 5"" P120",0.4,extraction agent,heuristic
5B-332-120,SHORT_DESC,"5B-332-120 HIOLIT 5"" P120",0.4,extraction agent,heuristic
5B-332-120,LONG_DESC1,"5B-332-120 HIOLIT 5"" P120",0.4,extraction agent,heuristic
5B-332-120,MOBILE_DESC,"5B-332-120 HIOLIT 5"" P120",0.4,derived from short_desc,heuristic
5B-332-120,INVOICE_DESC,"5B-332-120 HIOLIT 5"" P120",1.0,"input file, verbatim",heuristic
5B-332-120,ATTRIBUTE_LABEL 1,Grit,0.9,Part_Desc literal (grit code),heuristic
5B-332-120,ATTRIBUTE_VALUE 1,120,0.9,Part_Desc literal (grit code),heuristic
5B-332-120,ATTRIBUTE_UOM 1,,0.9,Part_Desc literal (grit code),heuristic
9A-570-240,Mfg_Part_Num,9A-570-240,1.0,"input file, verbatim",heuristic
9A-570-240,Part_Desc,9A-570-240 Abranet 2.75x30,1.0,"input file, verbatim",heuristic
9A-570-240,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
9A-570-240,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
9A-570-240,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
9A-570-240,Part_Manuf,Mirka Abrasives Inc (MIRUS),1.0,"input file, verbatim",heuristic
9A-570-240,PART_NUMBER,9A-570-240,1.0,"input file, verbatim",heuristic
9A-570-240,MANUFACTURER_PART_NUMBER,9A-570-240,1.0,"input file, verbatim",heuristic
9A-570-240,MANUFACTURER_NAME,Mirka Abrasives Inc,0.2,extraction agent: cleaned from Part_Manuf + description,heuristic
9A-570-240,BRAND_NAME,Mirka Abrasives Inc,0.2,extraction agent,heuristic
9A-570-240,Dept,Uncategorized,0.2,extraction agent: category classification,heuristic
9A-570-240,Class,Uncategorized,0.2,extraction agent: category classification,heuristic
9A-570-240,Fine,Uncategorized,0.2,extraction agent: category classification,heuristic
9A-570-240,Classpath,Uncategorized>Uncategorized>Uncategorized,0.2,extraction agent,heuristic
9A-570-240,Product Name,9A-570-240 Abranet 2.75x30,0.2,extraction agent,heuristic
9A-570-240,SHORT_DESC,9A-570-240 Abranet 2.75x30,0.2,extraction agent,heuristic
9A-570-240,LONG_DESC1,9A-570-240 Abranet 2.75x30,0.2,extraction agent,heuristic
9A-570-240,MOBILE_DESC,9A-570-240 Abranet 2.75x30,0.2,derived from short_desc,heuristic
9A-570-240,INVOICE_DESC,9A-570-240 Abranet 2.75x30,1.0,"input file, verbatim",heuristic
9A-570-320,Mfg_Part_Num,9A-570-320,1.0,"input file, verbatim",heuristic
9A-570-320,Part_Desc,9A-570-320 Abranet 2.75x30,1.0,"input file, verbatim",heuristic
9A-570-320,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
9A-570-320,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
9A-570-320,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
9A-570-320,Part_Manuf,Mirka Abrasives Inc (MIRUS),1.0,"input file, verbatim",heuristic
9A-570-320,PART_NUMBER,9A-570-320,1.0,"input file, verbatim",heuristic
9A-570-320,MANUFACTURER_PART_NUMBER,9A-570-320,1.0,"input file, verbatim",heuristic
9A-570-320,MANUFACTURER_NAME,Mirka Abrasives Inc,0.2,extraction agent: cleaned from Part_Manuf + description,heuristic
9A-570-320,BRAND_NAME,Mirka Abrasives Inc,0.2,extraction agent,heuristic
9A-570-320,Dept,Uncategorized,0.2,extraction agent: category classification,heuristic
9A-570-320,Class,Uncategorized,0.2,extraction agent: category classification,heuristic
9A-570-320,Fine,Uncategorized,0.2,extraction agent: category classification,heuristic
9A-570-320,Classpath,Uncategorized>Uncategorized>Uncategorized,0.2,extraction agent,heuristic
9A-570-320,Product Name,9A-570-320 Abranet 2.75x30,0.2,extraction agent,heuristic
9A-570-320,SHORT_DESC,9A-570-320 Abranet 2.75x30,0.2,extraction agent,heuristic
9A-570-320,LONG_DESC1,9A-570-320 Abranet 2.75x30,0.2,extraction agent,heuristic
9A-570-320,MOBILE_DESC,9A-570-320 Abranet 2.75x30,0.2,derived from short_desc,heuristic
9A-570-320,INVOICE_DESC,9A-570-320 Abranet 2.75x30,1.0,"input file, verbatim",heuristic
DBD090094101F,Mfg_Part_Num,DBD090094101F,1.0,"input file, verbatim",heuristic
DBD090094101F,Part_Desc,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",1.0,"input file, verbatim",heuristic
DBD090094101F,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
DBD090094101F,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
DBD090094101F,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
DBD090094101F,Part_Manuf,Freud Inc (2435),1.0,"input file, verbatim",heuristic
DBD090094101F,PART_NUMBER,DBD090094101F,1.0,"input file, verbatim",heuristic
DBD090094101F,MANUFACTURER_PART_NUMBER,DBD090094101F,1.0,"input file, verbatim",heuristic
DBD090094101F,MANUFACTURER_NAME,Freud Inc,0.2,extraction agent: cleaned from Part_Manuf + description,heuristic
DBD090094101F,BRAND_NAME,Freud Inc,0.2,extraction agent,heuristic
DBD090094101F,Dept,Tools & Equipment,0.2,extraction agent: category classification,heuristic
DBD090094101F,Class,Abrasives,0.2,extraction agent: category classification,heuristic
DBD090094101F,Fine,Sanding Products,0.2,extraction agent: category classification,heuristic
DBD090094101F,Classpath,Tools & Equipment>Abrasives>Sanding Products,0.2,extraction agent,heuristic
DBD090094101F,Product Name,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",0.2,extraction agent,heuristic
DBD090094101F,SHORT_DESC,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",0.2,extraction agent,heuristic
DBD090094101F,LONG_DESC1,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",0.2,extraction agent,heuristic
DBD090094101F,MOBILE_DESC,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",0.2,derived from short_desc,heuristic
DBD090094101F,INVOICE_DESC,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",1.0,"input file, verbatim",heuristic
DBDS12125A01F,Mfg_Part_Num,DBDS12125A01F,1.0,"input file, verbatim",heuristic
DBDS12125A01F,Part_Desc,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",1.0,"input file, verbatim",heuristic
DBDS12125A01F,E1_Brand,-- Unbranded --,1.0,"input file, verbatim",heuristic
DBDS12125A01F,Unilog_Brand,-- No Unilog Brand --,1.0,"input file, verbatim",heuristic
DBDS12125A01F,DIB_Brand,-- No DIB Brand --,1.0,"input file, verbatim",heuristic
DBDS12125A01F,Part_Manuf,Freud Inc (2435),1.0,"input file, verbatim",heuristic
DBDS12125A01F,PART_NUMBER,DBDS12125A01F,1.0,"input file, verbatim",heuristic
DBDS12125A01F,MANUFACTURER_PART_NUMBER,DBDS12125A01F,1.0,"input file, verbatim",heuristic
DBDS12125A01F,MANUFACTURER_NAME,Freud Inc,0.2,extraction agent: cleaned from Part_Manuf + description,heuristic
DBDS12125A01F,BRAND_NAME,Freud Inc,0.2,extraction agent,heuristic
DBDS12125A01F,Dept,Tools & Equipment,0.2,extraction agent: category classification,heuristic
DBDS12125A01F,Class,Abrasives,0.2,extraction agent: category classification,heuristic
DBDS12125A01F,Fine,Sanding Products,0.2,extraction agent: category classification,heuristic
